Material;Descrição;Saldo Disp.;Estoque p/Armazenar;UM;Preço Unit.;Tipo MRP;Descrição do Calendário;Nec.NOV/2019;Nec.DEZ/2019;Nec.JAN/2020;Nec.FEV/2020;Nec.MAR/2020;Nec.ABR/2020;Cons.DEZ/2018;Cons.JAN/2019;Cons.FEV/2019;Cons.MAR/2019;Cons.ABR/2019;Cons.MAI/2019;Cons.JUN/2019;Cons.JUL/2019;Cons.AGO/2019;Cons.SET/2019;Cons.OUT/2019;Cons.NOV/2019;Pedido 1;Próxima Entrega;Dt. Conf. 1;Des.Status;Num.Mat.Fab.;Materiais Substituídos
10010398;SERING DESC S/AGUL 3ML BD;0;0;UN;0,16;VV;DIARIO;35,2;880;704;704;880;704;0;0;0;0;200;460;800;280;740;660;920;500;5500001368;29/11/2019;31/12/9999;LIBERADO;990174;10004926
10010404;CTR PC HBEAG 2NV ELEC ROCHE;0;0;KIT;106,88;VV;DIARIO;0,05;1,25;1;1;0;0;2;2;5;0;0;0;0;0;0;0;0;1;5500001368;29/11/2019;31/12/9999;LIBERADO;11876376122;
10010407;TB VAC SOROL ATIV COAG S/GEL 4ML GBO;0;0;UN;0,28;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;454092;10001299
10010425;DISCO AMICACINA C/50 30MCG;0;0;FR;9,61;VV;DIARIO;0;11,25;9;9;2,25;0;0;0;0;0;0;36;0;0;0;0;0;1;5500001368;02/12/2019;31/12/9999;LIBERADO;1603;
10010426;DISCO AMOXICIL+ACIDO CLAVULAN C/50 30MCG;0;0;FR;10,02;VV;DIARIO;0,1;2,5;2;1,5;0;0;1;0;0;0;0;8;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;1605;
10010427;SERINGA DESC S/AGUL 10ML BD;0;0;UN;0,28;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;990172;
10010430;DISCO AZTREONAM C/50 30MCG;0;0;FR;9,71;VV;DIARIO;0,113;2,815;2,252;1,689;0;0;0;0;0;0;0;9;0;0;0;0;0;0;5500001368;21/11/2019;31/12/9999;LIBERADO;1609;
10010431;DISCO CEFOTAXIMA C/50 30MCG;0;0;FR;10,18;VV;DIARIO;0,173;4,335;3,468;3,468;4,335;3,468;0;0;0;0;0;2;0;0;6;4;1;13;5500001368;29/11/2019;31/12/9999;LIBERADO;1617;
10010437;PL CHOCO POLYVITEX 90MM C/10 BMX;0;0;PAC;13,5;VV;DIARIO;5,538;138,44;110,752;110,752;138,44;110,752;69;65;87;49;105;124;113;134;124;132;115;106;5500001368;29/11/2019;31/12/9999;LIBERADO;35109;
10010470;SERINGA DESC S/AGUL LUER SLIP 5ML BD;0;0;UN;0,18;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;990175;
10010685;DESCARTE AGUL VACUPLAST 1L CRAL;0;0;UN;34,08;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;PERFU1;
10010792;AGUA INJECAO INJ 10ML;0;0;UN;0,19;VV;DIARIO;8,889;222,22;177,776;177,776;222,22;177,776;0;0;0;0;0;696;0;0;0;200;200;0;5500001368;29/11/2019;31/12/9999;LIBERADO;14033;
10010797;CLORETO SOD 0.9% BOLSA 500ML;0;0;UN;4,34;ZM;DIARIO;0;0;0;0;0;0;0;10;0;0;0;48;0;0;0;0;0;0;5300124076;29/11/2019;03/12/2019;LIBERADO;18306;
10010823;COL PERFURO CORTANTE 7L DESCARPACK;0;0;UN;4,55;VV;DIARIO;0,025;0,625;0,5;0,5;0,625;0,25;0;2;1;0;3;5;0;2;0;0;0;0;5500001368;27/11/2019;31/12/9999;LIBERADO;150029;
10010830;TB FALCON ESTL INDIV 15ML CRAL;0;0;UN;0,3;VV;DIARIO;1,875;46,875;37,5;37,5;9,375;0;0;0;0;0;50;150;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;17022;10007416
10010845;MEIO CULT HEMOC ANAEROBIC BD;0;0;FR;9,2;VV;DIARIO;0,1;2,5;2;2;2,5;2;0;2;8;0;0;0;0;2;0;2;3;0;5500001368;29/11/2019;31/12/9999;LIBERADO;442022;
10010853;ACIDO CLORID 6N 1L QEEL;0;0;FR;20;VV;DIARIO;0,013;0,315;0,252;0,252;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;C004271;
10010861;TB PORTA LAM P/CITOLOG C/3 DIV /100 CRAL;0;0;PAC;250;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;CITO3;
10010866;SACO AUTOCL 20L 40X60CM C/20 CRAL;0;0;PAC;9,52;VV;DIARIO;0,15;3,75;3;3;0;0;0;0;0;0;30;0;0;0;0;0;0;0;5500001368;18/11/2019;31/12/9999;LIBERADO;SACO20;
10010870;TB CON PS TP AZ N ESTL 12ML CRAL;0;0;UN;0,2;VV;DIARIO;1,25;31,25;25;25;31,25;25;0;0;0;0;0;1.500,00;0;0;200;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;18159PS3;
10012731;DISCO CLINDAMICINA 2MCG;0;0;UN;10,23;ZM;DIARIO;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;LIBERADO;1624;10006888 | 10011496
10013043;DISCO ERITROMICINA 15MCG C/50;0;0;UN;12,62;VV;DIARIO;0,05;1,25;1;1;1,25;1;0;0;0;0;1;7;0;0;0;0;2;0;5500001368;29/11/2019;31/12/9999;LIBERADO;1629;10001072 | 10011495
10013599;PL CHROM ID CPS ELITE C/20 BMX;0;0;PAC;33,26;VV;DIARIO;40;1.000,00;709;709;886,25;709;167;254;310;265;511;950;624;928;801;834;805;580;5500001368;29/11/2019;31/12/9999;LIBERADO;421151;
10013781;COPO AMOST 20PT C/250 ELEC 201 ROCHE;0;0;CX;275,52;VV;DIARIO;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;10394246001;20001840
10014234;DILUENT UNIV E2G 45,2ML ROCHE;0;0;UN;13,68;VV;DIARIO;4;100;80;80;100;80;30;11;18;11;74;74;45;78;91;99;82;66;5500001368;28/11/2019;31/12/9999;LIBERADO;7299001190;
10014510;SERINGA S/AGUL LUER LOCK 5ML DESCARPACK;0;0;UN;0,18;VV;DIARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;150394;
10014564;COL FEZES AZ C/PA 50ML;0;0;UN;0,29;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;S350RAZPAAC;
10014775;RGT AFP E2G 300T ELEC ROCHE;0;0;UN;214,05;ZM;DIARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;7026706190;
10015167;RGT DENGUE IGG/IGM PREMIUN 25T ECO;0;0;KIT;217,5;ZM;DIARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;TR.0019CA025;
10016725;CASS P/BIOPSIA LJ 5MMX1MM C/3000 CRAL;0;0;CX;709,8;ZM;DIARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;4303NM;10007377
20000040;SACO LIXO PT 100L C/100;3;0;PAC;58;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;30020;
20000131;RIBBON RESINA 0.11X74M;0;0;UN;18,95;ZM;DIARIO;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1;;;;LIBERADO;S122;
20000208;CLIPS N3/0 C/500;0;0;CX;8,58;VV;DIARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;50034;
20000894;ALCOOL ETILICO 70% 1L;0;0;UN;4,59;VV;DIARIO;1,163;29,065;23,252;23,252;29,065;23,252;0;8;15;7;19;36;15;23;24;19;28;27;5500001368;29/11/2019;31/12/9999;LIBERADO;10017;
20002086;DETERGENTE LIQ 500ML;0;0;FR;2;VV;DIARIO;0,083;2,085;1,668;1,668;2,085;1,668;0;0;0;20;11;20;2;0;0;2;1;2;5500001368;26/11/2019;31/12/9999;LIBERADO;80021;
20002821;LUVA VINIL S/TAL P SUPERFLEX/CLASSIC;0;0;CX;12,4;VV;DIARIO;0,588;14,69;11,752;11,752;14,69;11,752;0;0;1;4;3;21;10;11;12;12;18;5;5500001368;29/11/2019;31/12/9999;LIBERADO;014133P;
20002878;LUVA VINIL S/TAL M SUPERFLEX/CLASSIC;0;0;CX;12,03;VV;DIARIO;1,65;41,25;33;33;41,25;33;4;8;12;22;2;21;4;39;27;31;45;36;5500001368;29/11/2019;31/12/9999;LIBERADO;014133M;
20002935;PAP HIG BC 300M;20;0;RL;7,66;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;20006;
20002991;SABONETE LIQ REFIL 800ML;5;0;FR;5,92;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;250007;
20002996;LUVA LATEX PROC C/TAL M;0;0;CX;12,86;VV;DIARIO;1,65;41,25;33;33;41,25;33;4;24;19;20;45;81;31;49;35;37;17;50;5500001368;29/11/2019;31/12/9999;LIBERADO;70054;
20003087;ACUCAR 1KG UNIAO;0;0;PAC;2,4;VV;DIARIO;0,288;7,19;5,752;4,314;0;0;0;0;0;0;0;23;0;0;0;0;0;0;5500001368;26/11/2019;31/12/9999;LIBERADO;110008;
20003130;CAFE 500G;0;0;PAC;12,52;VV;DIARIO;3,65;91,25;54,75;0;0;0;0;0;0;0;0;219;0;0;0;0;0;0;5500001368;26/11/2019;31/12/9999;LIBERADO;110026;20003383
20003161;FILT CAFE PAP N103 C/30;0;0;CX;3,5;VV;DIARIO;0,163;4,065;3,252;2,439;0;0;0;0;0;0;0;13;0;0;0;0;0;0;5500001368;26/11/2019;31/12/9999;LIBERADO;110002;
20003461;LUVA LATEX PROC S/TAL M;0;0;CX;15,96;VV;DIARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;012301M;
20003488;LUVA LATEX PROC S/TAL G;0;0;CX;15,96;VV;DIARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;012301G;
20003583;LUVA LATEX PROC C/TAL PP;0;0;CX;12,7;VV;DIARIO;1,263;31,565;25,252;25,252;31,565;25,252;0;9;5;15;14;26;22;37;21;33;30;18;5500001368;29/11/2019;31/12/9999;LIBERADO;17.361.004;
20003600;PAP TERM 57X30M;0;0;RL;4;VV;DIARIO;0,147;3,665;2,932;2,932;3,665;2,932;0;0;2;2;6;2;0;0;3;3;2;3;5500001368;26/11/2019;31/12/9999;LIBERADO;BOBINA 57 X 30 T;
20003613;]ANO PERFEX;0;0;UN;0,16;ZM;DIARIO;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;;;;LIBERADO;60019;
20003614;SACO LIXO HOSP ABNT BC C/100 100L;0;0;PAC;45,8;VV;DIARIO;0,05;1,25;1;1;0,25;0;0;0;1;0;0;4;0;0;0;0;0;0;5500001368;25/11/2019;31/12/9999;LIBERADO;30046;20003636
20003677;SAPATILHA BC DESC PROPE;0;0;PAR;0,16;VV;DIARIO;1;35;28;28;35;0;0;0;100;0;0;0;100;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;130007;
20003686;LUVA LATEX PROC C/TAL P;0;0;CX;12,78;VV;DIARIO;1,738;43,44;34,752;34,752;43,44;34,752;0;24;19;24;30;72;50;37;35;44;34;32;5500001368;29/11/2019;31/12/9999;LIBERADO;17.361.001;
20003702;AVENTAL BC PVC FORRADO CA36666;0;0;UN;7,49;VV;DIARIO;0,6;15;12;12;15;12;0;0;0;0;0;6;0;0;50;0;12;0;5500001368;27/11/2019;31/12/9999;LIBERADO;735       00 BR;
20003714;LUVA LATEX PROC C/TAL G;0;0;CX;13,65;VV;DIARIO;0,427;10,665;8,532;8,532;10,665;8,532;2;5;10;4;3;17;7;10;2;7;14;12;5500001368;29/11/2019;31/12/9999;LIBERADO;17.361.003;
20003717;SACO PLAST BOB 25X35CM;0;0;RL;17,25;VV;DIARIO;0,157;3,93;3,144;3,144;3,93;3,144;0;0;0;1;2;5;0;2;3;2;5;1;5500001368;29/11/2019;31/12/9999;LIBERADO;30065;
20003718;TOUCA BC DESC SANF 20G C/ELAST;0;0;UN;0,06;VV;DIARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;130008;
20003775;GRAMPO 26/6 C/100;0;0;CX;3,37;VV;DIARIO;0,057;1,43;1,144;1,144;1,43;1,144;0;1;0;0;3;4;1;0;1;1;1;1;5500001368;25/11/2019;31/12/9999;LIBERADO;50057;
20003789;PAP A4 21X29.7CM 75G C/500 SUZANO;0;0;PAC;15,03;VV;DIARIO;2,713;67,815;54,252;54,252;67,815;54,252;38;41;61;44;62;86;29;69;69;61;64;50;5500001368;29/11/2019;31/12/9999;LIBERADO;20083093;
20003824;SUP PAPEIRA ACRILICA TRIPLA;0;0;UN;47,52;ZM;PE - SEG SEMANAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;20003824;
20005942;ETIQ TERM BC S/BORDA 30X53CM;0;0;RL;9,39;VV;DIARIO;0,013;0,315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;2,64E+12;
10000109;DISCO CEFOXITINA C/50 30MCG;0;0;FR;9,55;VV;DIARIO;0,263;6,565;5,252;5,252;1,313;0;0;0;0;0;0;21;0;0;0;0;0;0;5500001368;26/11/2019;31/12/9999;LIBERADO;1618;
10000110;DISCO ERTAPENEM -ERT 10;0;0;FR;11,92;VV;DIARIO;0,214;5,355;4,284;4,284;5,355;4,284;2;0;0;0;0;8;0;2;4;6;3;2;5500001368;29/11/2019;31/12/9999;LIBERADO;1661;
10000113;DISCO GENTAMICINA 10MCG GEN 10 C/50;0;0;FR;9,38;VV;DIARIO;0,163;4,065;3,252;3,252;0,813;0;0;0;0;0;0;13;0;0;0;0;0;0;5500001368;26/11/2019;31/12/9999;LIBERADO;1633;
10000114;DISCO IMIPENEM C/50 10MCG;0;0;FR;10,61;VV;DIARIO;0,214;5,355;4,284;4,284;5,355;4,284;2;1;0;0;0;14;0;0;4;6;3;2;5500001368;29/11/2019;31/12/9999;LIBERADO;1634 ;
10000115;SORO A MONOC AB01 10ML;0;0;FR;23,3;ZM;DIARIO;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;;;;LIBERADO;310120;
10000116;DISCO MEROPENEM C/50;0;0;FR;9,17;VV;DIARIO;0,507;12,665;10,132;10,132;12,665;10,132;5;5;3;4;2;17;9;11;13;13;5;10;5500001368;29/11/2019;31/12/9999;LIBERADO;1638;
10000117;DISCO NITROFURANTOINA C/50 300MCG;0;0;FR;9,13;ZM;DIARIO;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;;;;LIBERADO;1641;
10000118;DISCO NORFLOXACINA C/50 10MCG;0;0;FR;9,19;ZM;DIARIO;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;;;;LIBERADO;1642;
10000121;DISCO NOVOBIOCINA C/25 DME;0;0;FR;10,99;VV;DIARIO;0,013;0,315;0,252;0,189;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5500001368;26/11/2019;31/12/9999;LIBERADO;1702;
10000122;DISCO OPTOQUINA C/25 5MCG;0;0;FR;12,26;VV;DIARIO;0,113;2,815;2,252;1,689;0;0;0;0;0;0;0;9;0;0;0;0;0;0;5500001368;28/11/2019;31/12/9999;LIBERADO;1703;
10000124;DISCO OXACILINA C/50 1MCG;0;0;FR;8,91;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;1645;
10000126;DISCO POLIMIXINA C/50 300MCG;0;0;FR;11,47;VV;DIARIO;0,013;0,315;0,252;0,189;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5500001368;26/11/2019;31/12/9999;LIBERADO;1649;
10000127;DISCO TEICOPLAM C/50 30MCG;0;0;FR;9,48;VV;DIARIO;0,025;0,625;0,5;0,5;0,625;0,125;0;0;0;0;0;1;2;0;0;0;0;0;5500001368;26/11/2019;31/12/9999;LIBERADO;1654;
10000128;DISCO TOBRAMICINA C/50 10MCG;0;0;FR;9,21;VV;DIARIO;0,063;1,565;1,252;0,939;0;0;0;0;0;0;0;5;0;0;0;0;0;0;5500001368;26/11/2019;31/12/9999;LIBERADO;1657;
10000139;COLUNA DI NOVA;3;0;UN;892;VV;DIARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;LC174;
10000158;CTR ANTI-HCV PC ELEC 3ML ROCHE;0;0;KIT;50,77;VV;DIARIO;0,05;1,25;1;1,82;2,275;1,82;1;5;1;0;0;0;3;0;0;2;2;1;5500001368;29/11/2019;31/12/9999;LIBERADO;3290379190;
10000160;FITA IMPRESS SP1000 ROCHE;0;0;UN;248,88;VV;DIARIO;0,013;0,315;0,252;0,252;0,063;0;0;0;0;0;0;1;0;0;0;0;0;0;5500001368;26/11/2019;31/12/9999;LIBERADO;6908136001;
10000164;ANTICORP SORO D RH1 10ML;0;0;FR;47,01;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;320420;
10000166;RGT COMBO HIV ARCH 2000T ABBOTT;0;0;KIT;1.905,10;ZM;DIARIO;0,046;0;0;0;0;0;0;1;0;0;0,003;0,019;0,827;0,038;2,487;0,096;0,086;0;5500001368;27/11/2019;31/12/9999;LIBERADO;04J2732;
