Material;Descrição;Saldo;Saldo Disp.;Estoque p/Armazenar;UM;Preço Unit.;Valor Estoque;Est.Seg.(qtd);Pto Reab.;Tipo Material;Tipo MRP;Planejador MRP;Cobertura Estoque s/ entradas;Cobertura Estoque c/ entradas;Fornecedor;Descr. Forn.;Lead Time Total;Prazo Entrega Prevista (Dias);Tempo de Processamento EM;Código ABC;Tamanho do lote MRP;Tamanho mínimo lote;Tamanho máximo lote;Tamanho fixo do lote;Lote Multiplo;Estoque máximo;Perfil de Cobertura;Descrição do Perfil;Estoque Seg(MARC);Calendário de Planejamento;Descrição do Calendário;Centro Abastecedor;Grau atend. (%);Qtd em Pedido de Compras;Nec.NOV/2019;Nec.DEZ/2019;Nec.JAN/2020;Nec.FEV/2020;Nec.MAR/2020;Nec.ABR/2020;Mat.Verif.;Requisição;Item Requisição;Ord.Planej.;Data Remessa;Dt.Reprog.;Qtd RC / Ord.Plan;Qtd.Confirmada;Data Confirmada;Valor da Requisição;Ordens Planejadas;Contrato;Item do Contrato;Preço em Contrato;Faturamento Minimo Fornecedor;Centro com Excesso de Estoque;Cons.DEZ/2018;Cons.JAN/2019;Cons.FEV/2019;Cons.MAR/2019;Cons.ABR/2019;Cons.MAI/2019;Cons.JUN/2019;Cons.JUL/2019;Cons.AGO/2019;Cons.SET/2019;Cons.OUT/2019;Cons.NOV/2019;Pedido 1;Próxima Entrega;Dt. Conf. 1;Quantidade;Pedido 2;2a Entrega;Dt. Conf. 2;Quantidade;Pedido 3;3a Entrega;Dt. Conf. 3;Quantidade;Temp.Armaz.;Perfil MRP;Descrição Perfil MRP;Dias sem Saídas;Dias sem Entradas;Excesso Estoque;Quantidade em Excesso;Dias de Excesso de Estoque;Excesso de Estoque (pedido);Quantidade em Excesso (pedido);Dias em Execesso (pedido);Faturamento minimo;Quantidade em Separação;Stat.Mat.;Des.Status;Num.Mat.Fab.;Materiais Substituídos
10008347;CTR LYPHOCHEK QUANT URINA NV2 NORMAL;0;0;0;KIT;271,48;0;0;0;ZROH;VV;005;0;20;DA04;ARMAZEM-PE;0;0;0;C;Z1;1;0;0;1;0;;;0;DIA;DIARIO;DA04;97;1;0,1;2,5;2;2;2,5;2;@3J@;;0;;;;0;0;;0;12;;0;0;0;;0;0;0;0;0;2;0;0;0;2;2;1;5500001368;43798;2958465;1;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;377;
10008428;DISCO CLORANFEN 30MCG C/50;0;0;0;FR;90,78;0;0,144;0;ZROH;VV;006;0;28;DA04;ARMAZEM-PE;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;1;0,05;1,25;1;1;1,25;1;@3J@;;0;;;;0;0;;0;5;;0;0;0;;0;0;0;0;0;2;0;0;0;0;2;0;5500001368;43795;2958465;1;;;;0;;;;0;;;;194;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;1625;
10008545;COL URINA 24HS AMBAR 2L CRAL;0;0;0;UN;2,83;0;0;0;ZROH;ND;005;0;999;;;2;0;2;C;Z1;1;0;0;1;0;006;Cobertura 6 dias;0;DIA;DIARIO;DA04;99;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;;;;0;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;;0;03;BLOQUEIO COMPRAS;CLT24H2LA;10006168
10008633;GLUTOL LIQ LIMAO 75G 300ML;0;0;0;FR;2,89;0;0,036;0;ZROH;VV;006;0;111;DA04;ARMAZEM-PE;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;1;0,013;0,315;0,252;0,189;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;5500001368;43798;2958465;1;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;610667;
10008778;COL PERFURO CORTANTE 13L DESCARPACK;0;0;0;UN;4,68;0;1,4;0;ZROH;VV;005;0;17;DA04;ARMAZEM-PE;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;6;0,488;12,19;9,752;9,752;12,19;9,752;@3J@;;0;;;;0;0;;0;56;;0;0;0;;0;1;6;2;7;5;6;6;12;10;10;13;5500001368;43798;2958465;2;5500001368;43801;2958465;1;5500001368;43803;2958465;1;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;150027;
10008837;PONT GILSON 0.1-10UL C/1000 CRAL;0;0;0;PAC;25;0;0;0;ZROH;ZM;005;0;999;;;2;0;2;C;Z1;1;0;0;1;0;015;Cobertura 15 dias;0;SES;PE - SEG SEMANAL;DA04;99;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;;0;;;;0;;;;0;0;@08@;0;0;@08@;0;0;;0;00;LIBERADO;18261;
10009056;PL AGAR SANG CARN 90MM C/10 BMX;0;0;0;PAC;28,18;0;0;0;ZROH;VV;006;0;999;;;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;97;20;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;93;0;0;0;0;0;0;0;0;0;0;5300088773;43473;43475;20;;;;0;;;;0;;;;191;191;@08@;0;0;@0A@;20;999;;0;00;LIBERADO;35095;
10009266;CURAT ADUL ESTL COPERTINA C/500 CRAL;0;0;0;CX;12,1;0;0,036;0;ZROH;VV;006;0;111;DA04;ARMAZEM-PE;2;0;2;A;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;1;0,013;0,315;0,252;0,189;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;5500001368;43798;2958465;1;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;COPE500;
10009481;TB AMBAR SOROL C/GEL 3.5ML GBO;0;0;0;UN;0,51;0;0;0;ZROH;ND;005;0;999;;;2;0;2;C;Z1;1;0;0;1;0;006;Cobertura 6 dias;0;DIA;DIARIO;DA04;99;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;350;0;0;0;0;0;0;;;;0;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;;0;03;BLOQUEIO COMPRAS;454482;
10009570;PINCA ANATOMICA 16CM;7;7;0;UN;25;175;0;0;ZROH;ZM;006;999,9;999,9;;;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99,5;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;;;;0;;;;0;;;;0;;;;156;156;@0A@;7;994;@08@;0;0;;0;00;LIBERADO;172-16;
10009578;CTR PC UNIV ELEC ROCHE;0;0;0;KIT;99,49;0;0,2;0;ZROH;VV;022;0;0;;;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;97;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;1;;;;0;;;;0;;;;0;;;;0;0;@08@;0;0;@08@;0;0;;0;00;LIBERADO;11731416190;
10009636;ALCA SECRE OC DESC ESTL 10UL CRAL;0;0;0;UN;0,11;0;0;0;ZROH;ND;005;0;999;;;2;0;2;C;Z1;1;0;0;1;0;006;Cobertura 6 dias;0;DIA;DIARIO;DA04;99;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;4879;0;0;0;0;0;0;;;;0;;;;0;;;;0;;;;189;222;@08@;0;0;@08@;0;0;;0;03;BLOQUEIO COMPRAS;182881P;
10009699;CTR DIFFTROL 3NV ABX;0;0;0;KIT;168;0;9,704;0;ZROH;VV;005;0;19;DA04;ARMAZEM-PE;2;0;2;B;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;97;47;3,375;84,375;67,5;67,5;84,375;67,5;@3J@;;0;;;;0;0;;0;391;;0;0;0;;8;30;66;140;90;90;74;85;100;80;60;50;5500001368;43798;2958465;14;5500001368;43801;2958465;3;5300124076;43798;43802;10;;;;323;330;@08@;0;0;@0A@;10;4;@08@;0;00;LIBERADO;2062014;
10009754;SACO AUTOCL C/20 60L CRAL;0;0;0;PAC;21,99;0;1,26;0;ZROH;VV;012;0;16;DA04;ARMAZEM-PE;0;0;0;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;97;5;0,438;10,94;8,752;8,752;2,188;0;@3J@;;0;;;;0;0;;0;27;;0;0;0;;0;0;7;0;0;35;0;0;0;0;0;16;5500001368;43798;2958465;2;5500001368;43801;2958465;1;5500001368;43803;2958465;1;;;;194;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;SACO60;
10009797;SWAB PLAST ALG P/ABSOR EST C/100 ABSORVE;0;0;0;CX;11,4;0;0,72;0;ZROH;VV;012;0;17;DA04;ARMAZEM-PE;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99,5;3;0,25;6,25;5;5;1,25;0;@3J@;;0;;;;0;0;;0;15;;0;0;0;;0;0;0;0;1;20;0;0;0;0;0;0;5500001368;43798;2958465;1;5500001368;43801;2958465;1;5500001368;43805;2958465;1;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;23007;
10009849;ALCA AM PLAST DESC 1UL CRAL;0;0;0;UN;0,12;0;3105;0;ZROH;VV;005;0;15;DA04;ARMAZEM-PE;2;0;2;C;Z1;100;0;0;100;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;97;11800;1080;27000;21600;21600;27000;21600;@3J@;;0;;;;0;0;;0;125000;;0;0;0;;7700;10400;9600;6000;17600;23000;23500;27100;28200;21800;19500;23400;5500001368;43798;2958465;4200;5500001368;43801;2958465;1100;5500001368;43802;2958465;1100;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;182861PA;
10009891;BASOLYSE 5L BC ABX;0;0;0;GL;65,62;0;0;0;ZROH;VV;005;0;21;DA04;ARMAZEM-PE;2;0;2;B;Z1;1;0;0;1;0;;;0;DIA;DIARIO;DA04;99;42;4;100;80;95,252;119,065;95,252;@3J@;;0;;;;0;0;;0;534;;0;0;0;;17;64;34;47;70;65;75;111;108;103;105;102;5500001368;43798;2958465;4;5500001368;43801;2958465;4;5300124051;43798;43802;10;;;;318;331;@08@;0;0;@0A@;10;5;@08@;0;00;LIBERADO;204050;10007750
10009894;LANCETA MOICROT C/ADAPT SEGUR 1.5X2MM BD;0;0;0;UN;0,79;0;7,188;0;ZROH;VV;006;0;111;DA04;ARMAZEM-PE;2;0;2;C;Z1;200;0;0;200;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;200;2,5;62,5;50;37,5;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;200;0;0;0;0;0;0;5500001368;43790;2958465;200;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;366594;
10009905;CTR LYPHOCHEK IMUN PLUS NV2;0;0;0;KIT;342,7;0;0;0;ZROH;PD;006;0;999;;;0;0;0;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;97;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;;;;0;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;;0;00;LIBERADO;372;
10009910;CTR CTR LYPHOCHEK IMUN PLUS NV3;0;0;0;KIT;300,34;0;0;0;ZROH;ZM;012;0;999;;;0;0;0;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;1;0;1;0;0;0;0;0;0;;;;0;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;;0;00;LIBERADO;373;
10009990;LANCETA MOICROTAINS C/SEG 21G 1.5ML BD;0;0;0;UN;0,62;0;14,376;0;ZROH;VV;006;0;56;DA04;ARMAZEM-PE;2;0;2;B;Z1;200;0;0;200;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;200;5;125;100;75;0;0;@3J@;;0;;;;0;0;;0;200;;0;0;0;;0;0;0;0;0;400;0;0;0;0;0;0;5500001368;43798;2958465;200;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;366593;
10010179;ESCALPE 23G BD;0;0;0;UN;0,74;0;0;0;ZROH;PD;006;0;999;;;2;0;2;C;Z1;200;0;0;200;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;100;0;0;0;0;0;0;;;;0;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;;0;00;LIBERADO;388338;
10010237;COL PERFURO CORTANTE 1.5L DESCARPACK;0;0;0;UN;3,88;0;0,576;0;ZROH;VV;005;0;21;DA04;ARMAZEM-PE;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;3;0,2;5;4;4;5;4;@3J@;;0;;;;0;0;;0;23;;0;0;0;;0;0;0;2;5;2;2;0;0;0;6;1;5500001368;43796;2958465;1;5500001368;43798;2958465;1;5500001368;43805;2958465;1;;;;190;222;@08@;0;0;@0A@;1;7;@08@;0;00;LIBERADO;150026;
10010310;ESCALPE 25G BD;0;0;0;UN;0,67;0;3,592;0;ZROH;VV;006;0;56;DA04;ARMAZEM-PE;2;0;2;B;Z1;50;0;0;50;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;50;1,25;31,25;25;18,75;0;0;@3J@;;0;;;;0;0;;0;50;;0;0;0;;0;0;0;0;0;100;0;0;0;0;0;0;5500001368;43798;2958465;50;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;388339;
10010398;SERING DESC S/AGUL 3ML BD;0;0;0;UN;0,16;0;101,2;0;ZROH;VV;005;0;15;DA04;ARMAZEM-PE;2;0;2;C;Z1;10;0;0;10;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;390;35,2;880;704;704;880;704;@3J@;;0;;;;0;0;;0;4070;;0;0;0;;0;0;0;0;200;460;800;280;740;660;920;500;5500001368;43798;2958465;140;5500001368;43801;2958465;40;5500001368;43802;2958465;30;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;990174;10004926
10010404;CTR PC HBEAG 2NV ELEC ROCHE;0;0;0;KIT;106,88;0;0,144;0;ZROH;VV;005;0;28;DA04;ARMAZEM-PE;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;1;0,05;1,25;1;1;0;0;@3J@;;0;;;;0;0;;0;3;;0;0;0;;2;2;5;0;0;0;0;0;0;0;0;1;5500001368;43798;2958465;1;;;;0;;;;0;;;;311;331;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;11876376122;
10010407;TB VAC SOROL ATIV COAG S/GEL 4ML GBO;0;0;0;UN;0,28;0;0;0;ZROH;ND;005;0;999;;;2;0;2;C;Z1;1;0;0;1;0;006;Cobertura 6 dias;0;DIA;DIARIO;DA04;97;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;50;0;0;0;0;0;0;;;;0;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;;0;03;BLOQUEIO COMPRAS;454092;10001299
10010425;DISCO AMICACINA C/50 30MCG;0;0;0;FR;9,61;0;1,284;0;ZROH;VV;006;0;16;DA04;ARMAZEM-PE;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;5;0;11,25;9;9;2,25;0;@3J@;;0;;;;0;0;;0;27;;0;0;0;;0;0;0;0;0;36;0;0;0;0;0;1;5500001368;43801;2958465;2;5500001368;43802;2958465;1;5500001368;43804;2958465;1;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;1603;
10010426;DISCO AMOXICIL+ACIDO CLAVULAN C/50 30MCG;0;0;0;FR;10,02;0;0,288;0;ZROH;VV;005;0;28;DA04;ARMAZEM-PE;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;97;2;0,1;2,5;2;1,5;0;0;@3J@;;0;;;;0;0;;0;5;;0;0;0;;1;0;0;0;0;8;0;0;0;0;0;0;5500001368;43798;2958465;1;5500001368;43809;2958465;1;;;;0;;;;194;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;1605;
10010427;SERINGA DESC S/AGUL 10ML BD;0;0;0;UN;0,28;0;0;0;ZROH;ND;006;0;999;;;2;0;2;C;Z1;10;0;0;10;0;;;0;DIA;DIARIO;DA04;99;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;31;0;0;0;0;0;0;;;;0;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;;0;03;BLOQUEIO COMPRAS;990172;
10010430;DISCO AZTREONAM C/50 30MCG;0;0;0;FR;9,71;0;0,324;0;ZROH;VV;005;0;25;DA04;ARMAZEM-PE;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;97;2;0,113;2,815;2,252;1,689;0;0;@3J@;;0;;;;0;0;;0;6;;0;0;0;;0;0;0;0;0;9;0;0;0;0;0;0;5500001368;43790;2958465;1;5500001368;43798;2958465;1;;;;0;;;;194;222;@08@;0;0;@0A@;1;12;@08@;0;00;LIBERADO;1609;
